,,,,,,,,,,,,,,,,
,Million Tokens,500.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Input tokens,Output tokens,Cached inputs,,,,,,,,,,,,,
,3.50%,0.50%,96.00%,,,,,,,,,,,,,
,Input/M,Output/M,Cache input/M,,Est. Input token Cost,Est. Output token Cost,Est. Cached Input token Cost,Est. Total Cost,,,,,,,,
https://api.llmgateway.io/v1/,,,,,,,,,,,,,,,,
embercloud/glm-4.7-flash,0.06,0.4,0.01,,1.05,1.00,4.80,6.85,,,,,,,,
azure/gpt-5.4-nano,0.16,1,0.02,,2.80,2.50,9.60,14.90,,,,,,,,
deepinfra/deepseek-v4-flash,0.14,0.28,0.03,,2.45,0.70,14.40,17.55,,,,,,,,
google-ai-studio/gemini-3.1-flash-lite,0.25,1.5,0.02,,4.38,3.75,9.60,17.73,,,,,,,,
alibaba/qwen3.6-plus:singapore,0.4,2.4,0.04,,7.00,6.00,19.20,32.20,,,,,,,,
novita/minimax-m2.7,0.3,1.2,0.06,,5.25,3.00,28.80,37.05,,,,,,,,
nebius/kimi-k2.5,0.5,2.5,0.02,,8.75,6.25,9.60,24.60,,,,,,,,
azure/gpt-5-mini,0.2,1.6,0.02,,3.50,4.00,9.60,17.10,,,,,,,,
embercloud/glm-5.1,0.93,2.93,0.17,,16.28,7.33,81.60,105.20,,,,,,,,
anthropic/claude-sonnet-4-6,3,15,0.3,,52.50,37.50,144.00,234.00,,,,,,,,
aws-bedrock/grok-4-3,1.25,2.5,0.2,,21.88,6.25,96.00,124.13,,,,,,,,
xiaomi/mimo-v2.5-pro,0.43,0.87,0.003,,7.53,2.18,1.44,11.14,,,,,,,,
alibaba/qwen3.6-plus:singapore,0.5,3,0.05,,8.75,7.50,24.00,40.25,,,,,,,,
deepinfra/kimi-k2.5,0.45,2.25,0.07,,7.88,5.63,33.60,47.10,,,,,,,,
openai/gpt-5.4-mini,0.75,4.5,0.07,,13.13,11.25,33.60,57.98,,,,,,,,
azure/gpt-5.4-mini,0.75,4.5,0.07,,13.13,11.25,33.60,57.98,,,,,,,,
alibaba/qwen3.7-plus:singapore,0.4,1.6,0.08,,7.00,4.00,38.40,49.40,,,,,,,,
tundra/kimi-k2.6,0.4,2.2,0.08,,7.00,5.50,38.40,50.90,,,,,,,,
aws-bedrock/claude-haiku-4-5-20251001,1,5,0.1,,17.50,12.50,48.00,78.00,,,,,,,,
deepinfra/deepseek-v4-pro,1.74,3.48,0.14,,30.45,8.70,67.20,106.35,,,,,,,,
embercloud/glm-5.2,1.26,3.96,0.23,,22.05,9.90,110.40,142.35,,,,,,,,
